Date,Jalali_Date,Description,Description2
2008-01-18,1386-10-28,Tasoua,
2008-01-19,1386-10-29,Ashoura,
2008-02-11,1386-11-22,Islamic Revolution Day,
2008-02-28,1386-12-09,Arbaeen,
2008-03-16,1386-12-26,Martyrdom of Imam Hassan Askari,
2008-03-19,1386-12-29,Oil Nationalization Day,
2008-03-20,1387-01-01,Nowrouz,
2008-03-21,1387-01-02,Nowrouz,
2008-03-22,1387-01-03,Nowrouz,
2008-03-23,1387-01-04,Nowrouz,
2008-03-25,1387-01-06,Birthday of Muhammed,
2008-03-31,1387-01-12,Islamic Republic Day,
2008-04-01,1387-01-13,Nature Day,
2008-06-03,1387-03-14,Demise of Imam Khomeini,
2008-06-04,1387-03-15,Khordad National Uprising,
2008-06-07,1387-03-18,Death of Fatima,
2008-07-16,1387-04-26,Birthday of Imam Ali,
2008-07-30,1387-05-09,The Prophet's Ascension,
2008-08-17,1387-05-27,Birthday of Imam Mahdi,
2008-09-22,1387-07-01,Martyrdom of Imam Ali,
2008-10-01,1387-07-10,Eid-e-Fitr,
2008-10-02,1387-07-11,Eid-e-Fitr,
2008-10-25,1387-08-04,Martyrdom of Imam Sadeq,
2008-12-09,1387-09-19,Eid-e-Qorban,
2008-12-17,1387-09-27,Eid-e-Ghadir,
