Date,Jalali_Date,Description
2010-02-05,1388-11-16,Arbaeen
2010-02-11,1388-11-22,Islamic Revolution Day
2010-02-15,1388-11-26,Martyrdom of Imam Reza
2010-02-23,1388-12-04,Martyrdom of Imam Hassa Askari
2010-03-04,1388-12-13,Birthday of Muhammed
2010-03-20,1388-12-29,Oil Nationalization Day
2010-03-21,1389-01-01,Nowrouz
2010-03-22,1389-01-02,Nowrouz
2010-03-23,1389-01-03,Nowrouz
2010-03-24,1389-01-04,Nowrouz
2010-04-01,1389-01-12,Islamic Republic Day
2010-04-02,1389-01-13,Nature Day
2010-05-17,1389-02-27,Death of Fatima
2010-06-04,1389-03-14,Demise of Imam Khomeini
2010-06-05,1389-03-15,Khordad National Uprising
2010-06-26,1389-04-05,Birthday of Imam Ali
2010-07-10,1389-04-19,The Prophet's Ascension
2010-07-27,1389-05-05,Birthday of Imam Mahdi
2010-09-01,1389-06-10,Martyrdom of Imam Ali
2010-09-10,1389-06-19,Eid-e-Fitr
2010-09-11,1389-06-20,Eid-e-Fitr
2010-10-04,1389-07-12,Martyrdom of Imam Sadeq
2010-11-17,1389-08-26,Eid-e-Qorban
2010-11-25,1389-09-04,Eid-e-Ghadir
2010-12-15,1389-09-24,Tasoua
2010-12-16,1389-09-25,Ashoura
