date,event_1,event_2
1411-01-01,جشن نوروز/جشن سال نو,
1411-01-02,عیدنوروز,
1411-01-03,عیدنوروز,
1411-01-04,عیدنوروز,عید سعید قربان
1411-01-12,روز جمهوری اسلامی,عید سعید غدیر خم
1411-01-13,جشن سیزده به در,
1411-02-01,تاسوعای حسینی,
1411-02-02,عاشورای حسینی,
1411-03-10,اربعین حسینی,
1411-03-14,رحلت حضرت امام خمینی,
1411-03-15,قیام 15 خرداد,
1411-03-18,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1411-03-20,شهادت امام رضا علیه السلام,
1411-03-28,شهادت امام حسن عسکری علیه السلام,
1411-04-06,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1411-06-19,شهادت حضرت فاطمه زهرا سلام الله علیها,
1411-07-28,ولادت امام علی علیه السلام و روز پدر,
1411-08-12,مبعث رسول اکرم (ص),
1411-08-29,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1411-10-05,شهادت حضرت علی علیه السلام,
1411-10-14,عید سعید فطر,
1411-10-15,تعطیل به مناسبت عید سعید فطر,
1411-11-08,شهادت امام جعفر صادق علیه السلام,
1411-11-22,پیروزی انقلاب اسلامی,
1411-12-22,عید سعید قربان,
1411-12-29,روز ملی شدن صنعت نفت ایران,
1412-01-01,جشن نوروز/جشن سال نو,عید سعید غدیر خم
1412-01-02,عیدنوروز,
1412-01-03,عیدنوروز,
1412-01-04,عیدنوروز,
1412-01-12,روز جمهوری اسلامی,
1412-01-13,جشن سیزده به در,
1412-01-22,تاسوعای حسینی,
1412-01-23,عاشورای حسینی,
1412-02-31,اربعین حسینی,
1412-03-08,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام,
1412-03-14,رحلت حضرت امام خمینی,
1412-03-15,قیام 15 خرداد,
1412-03-17,شهادت امام حسن عسکری علیه السلام,
1412-03-26,میلاد رسول اکرم و امام جعفر صادق علیه السلام,
1412-06-08,شهادت حضرت فاطمه زهرا سلام الله علیها,
1412-07-17,ولادت امام علی علیه السلام و روز پدر,
1412-08-01,مبعث رسول اکرم (ص),
1412-08-18,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,
1412-09-24,شهادت حضرت علی علیه السلام,
1412-10-04,عید سعید فطر,
