Date,Jalali_Date,Description,Description2
2000-01-08,1378-10-18,Eid-e-Fitr,
2000-02-01,1378-11-12,Martyrdom of Imam Sadeq,
2000-02-11,1378-11-22,Islamic Revolution Day,
2000-03-17,1378-12-27,Eid-e-Qorban,
2000-03-19,1378-12-29,Oil Nationalization Day,
2000-03-20,1379-01-01,Nowrouz,
2000-03-21,1379-01-02,Nowrouz,
2000-03-22,1379-01-03,Nowrouz,
2000-03-23,1379-01-04,Nowrouz,
2000-03-25,1379-01-06,Eid-e-Ghadir,
2000-03-31,1379-01-12,Islamic Republic Day,
2000-04-01,1379-01-13,Nature Day,
2000-04-14,1379-01-26,Tasoua,
2000-04-15,1379-01-27,Ashoura,
2000-05-25,1379-03-05,Arbaeen,
2000-06-03,1379-03-14,Demise of Imam Khomeini,
2000-06-04,1379-03-15,Khordad National Uprising,
2000-06-11,1379-03-22,Martyrdom of Imam Hassan Askari,
2000-06-20,1379-03-31,Birthday of Muhammed,
2000-09-02,1379-06-12,Death of Fatima,
2000-10-11,1379-07-20,Birthday of Imam Ali,
2000-10-25,1379-08-04,The Prophet's Ascension,
2000-11-12,1379-08-22,Birthday of Imam Mahdi,
2000-12-18,1379-09-28,Martyrdom of Imam Ali,
2000-12-27,1379-10-07,Eid-e-Fitr,
2001-01-20,1379-11-01,Martyrdom of Imam Sadeq,
2001-02-10,1379-11-22,Islamic Revolution Day,
2001-03-06,1379-12-16,Eid-e-Qorban,
2001-03-14,1379-12-24,Eid-e-Ghadir,
2001-03-19,1379-12-29,Oil Nationalization Day,
2001-03-21,1380-01-01,Nowrouz,
2001-03-22,1380-01-02,Nowrouz,
2001-03-23,1380-01-03,Nowrouz,
2001-03-24,1380-01-04,Nowrouz,
2001-04-01,1380-01-12,Islamic Republic Day,
2001-04-02,1380-01-13,Nature Day,
2001-04-04,1380-01-15,Tasoua,
2001-04-05,1380-01-16,Ashoura,
2001-05-14,1380-02-24,Arbaeen,
2001-05-24,1380-03-03,Martyrdom of Imam Reza,
2001-06-01,1380-03-11,Martyrdom of Imam Hassan Askari,
2001-06-04,1380-03-14,Demise of Imam Khomeini,
2001-06-05,1380-03-15,Khordad National Uprising,
2001-06-10,1380-03-20,Birthday of Muhammed,
2001-08-23,1380-06-01,Death of Fatima,
2001-10-01,1380-07-09,Birthday of Imam Ali,
2001-10-15,1380-07-23,The Prophet's Ascension,
